exp,row,n,k,r,t,p_1,p_2,p_3,p_4,p_5,v_1,v_2,v_3,v_4,v_5,original_error,suzuki_error,original_r,error
16,30,5,2,350,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00549669882651
16,31,5,2,375,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00548756877877
16,32,5,2,400,10,0.414880891086574,0.408509637775155,-0.652332354624388,0.413961092709643,0.414912367882403,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.008392867228576,0.018174168263085,50,0.00547992656734
16,33,5,2,25,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.11437169945
16,34,5,2,50,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.0135478641208
16,35,5,2,75,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.00185955625541
16,36,5,2,100,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.00153451339255
16,37,5,2,125,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.0014086325638
16,38,5,2,150,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.00129374064078
16,39,5,2,175,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.00129318721738
16,40,5,2,200,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.00129791026321
16,41,5,2,225,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.00129414387152
16,42,5,2,250,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.00128792635564
16,43,5,2,275,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.00128142428668
16,44,5,2,300,10,0.413156444316377,0.413051984573742,-0.654986671664273,0.415102416735054,0.413660335323667,-0.106971427020716,0.529058605311209,0.504325878824554,-0.348264624670603,-0.950258369325947,0.001859556255407,0.0040403002479,75,0.00127539171221
