id,n,v_1,v_2,v_3,v_4,v_5,k,r,seed,gens,algorithm,kind,p_1,p_2,p_3,p_4,p_5,optimised error,suzuki error,% error,time
140,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,7822578,250,CMAES,p,0.4101895691012611,0.4147644710415131,-0.6540129811255878,0.4130159221854289,0.41602235632370815,0.001941223871599257,0.006164282866649955,31.491479440401406,622.5449640750885
141,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,7913248,250,CMAES,p,0.41286316467498235,0.41441394296923967,-0.6540002386231307,0.41197639360262567,0.414725956115083,0.0019317255308197252,0.006164282866649955,31.337392728532294,618.1889007091522
142,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,8597652,250,CMAES,p,0.41589649312678184,0.4116982669021685,-0.6540102358408126,0.4147486738980011,0.4116460859826146,0.0019356749163015263,0.006164282866649955,31.40146158402185,614.2482054233551
143,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,8805269,250,CMAES,p,0.41389668630141085,0.41057874666418104,-0.6540088554901975,0.4156820178487787,0.41383065727933377,0.001931688429711823,0.006164282866649955,31.336790856283656,615.9560797214508
144,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,8996026,250,CMAES,p,0.4109798108376391,0.4117668311894874,-0.6540710682797473,0.41108141296533074,0.4202227021817917,0.0019590887860817833,0.006164282866649955,31.781292787209015,614.6868274211884
145,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,9001963,250,CMAES,p,0.41029537530412463,0.4147590961259528,-0.6540114777811479,0.4131491039766687,0.41578721716169675,0.0019400618149298086,0.006164282866649955,31.472627990937017,615.4786689281464
146,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,9555957,250,CMAES,p,0.4168307885700974,0.41171219062709075,-0.6540126733204629,0.41265456012220547,0.4127944849464838,0.0019368359854715126,0.006164282866649955,31.420297013788833,615.1931562423706
147,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,9809859,250,CMAES,p,0.4129740763219983,0.41538491899626306,-0.6540008761064725,0.4122762308459451,0.413344825469089,0.0019308507556795704,0.006164282866649955,31.323201700004265,610.9195680618286
148,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,9869527,250,CMAES,p,0.412194969740711,0.41503127762581116,-0.6540189463168589,0.4160069403005176,0.41076485170936183,0.0019306796445414198,0.006164282866649955,31.320425851753104,610.2982144355774
149,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,9926156,250,CMAES,p,0.41211030727925224,0.4134985836127721,-0.6539955592631328,0.41463887816859796,0.41372697869533726,0.001931950694793176,0.006164282866649955,31.341045448213105,611.5950396060944
150,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,75,9962042,250,CMAES,p,0.4163957779995437,0.4075153988608832,-0.6540740620326686,0.4162536701375944,0.4138884998193408,0.0019323294773814677,0.006164282866649955,31.347190243909306,610.5954744815826
151,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,125,460591,250,CMAES,p,0.41492997753329985,0.41393919084629566,-0.6564089631028401,0.4134809891182697,0.414055809853401,0.0002671379393660445,0.0008516452848824616,31.36727744613922,687.7809362411499
152,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,125,768387,250,CMAES,p,0.4134802198057534,0.4144576861386703,-0.6564100043359544,0.4148607455513814,0.4136083507404597,0.000266880962839441,0.0008516452848824616,31.337103319520416,685.8643445968628
153,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,125,948039,250,CMAES,p,0.4137162617038484,0.41432960182918677,-0.6564078294992243,0.41415394865042493,0.41420501788942427,0.00026695469198159905,0.0008516452848824616,31.345760579000018,683.0602023601532
154,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,125,1115242,250,CMAES,p,0.4111653889496464,0.4152651707438844,-0.6564335307995025,0.41277402804219904,0.4172260018756802,0.0002708903206468732,0.0008516452848824616,31.807881221846912,681.30579662323
155,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,125,1187090,250,CMAES,p,0.4126915156877489,0.41518529789006503,-0.6564122940925439,0.4144837007959166,0.4140487810842713,0.0002670705482639071,0.0008516452848824616,31.359364397909676,680.9748966693878
156,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,125,1552725,250,CMAES,p,0.4141435711187295,0.41479562199632447,-0.6564086194029469,0.41353580491746766,0.41393062270050335,0.00026697431894121676,0.0008516452848824616,31.348065172234563,681.205454826355
157,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,125,1813704,250,CMAES,p,0.41382618935454796,0.41405035608946283,-0.6564082613913633,0.4146189556479402,0.4139097599220046,0.0002669198448991598,0.0008516452848824616,31.341668842327742,701.3459119796753
158,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,125,2259964,250,CMAES,p,0.41208857320098613,0.41449610186726654,-0.6564128523610328,0.41484047318790895,0.41498472381146156,0.0002681598035612426,0.0008516452848824616,31.48726451274279,704.2020936012268
159,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,125,2422921,250,CMAES,p,0.41511700946147545,0.41207500682023007,-0.6564171355327553,0.415133250685887,0.41408887150516566,0.0002670295285751602,0.0008516452848824616,31.354547875177147,699.6418743133545
160,5,-0.14148262945720247,0.4992799373516386,-0.8450044399089445,0.5629205826890511,-0.6166066469120175,2,125,3488656,250,CMAES,p,0.4144226939532121,0.41400656901953703,-0.6564081533297461,0.4144243751608411,0.41355151685241764,0.00026701879826234294,0.0008516452848824616,31.353287924231868,697.9482371807098
