id,n,v_1,v_2,v_3,v_4,v_5,k,r,seed,gens,algorithm,kind,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,optimised error,suzuki error,% error,time
34,5,0.9904540693410236,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565148,3,50,678261680,500,CMAES,p concatenated,0.37305784974219125,0.373060134268078,-0.4922754293726755,0.3730620388076221,0.3730672924442535,0.4144944931759999,0.41448839469812304,-0.6579432602352676,0.4144897614856208,0.4144985884455195,9.725050327829236e-06,2.1634524013248622e-05,44.951533585272216,5304.780130624771
35,5,0.9904540693410236,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565148,3,50,951689995,500,CMAES,p concatenated,0.3730441554569998,0.3730589802098381,-0.49225298035098464,0.3730561952465903,0.3730621595991213,0.41449517222095156,0.41448024010744117,-0.6579447733619009,0.4144895360661242,0.4145111780096104,9.724992967425058e-06,2.1634524013248622e-05,44.95126845161758,5492.706862688065
36,5,0.9904540693410236,-0.24445041636106435,0.7955458787759091,0.4290968664437629,0.9265661436565148,3,50,164252281,500,CMAES,p concatenated,0.37307383650919673,0.3730674712124174,-0.49226592641782313,0.37304781278354915,0.37303885850860957,0.4144719479879594,0.41450402448209916,-0.6579493794770594,0.41450068558273784,0.4145105332768136,9.726037937166176e-06,2.1634524013248622e-05,44.95609855437593,5522.239598035812
37,5,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,3,25,678261680,500,CMAES,p concatenated,0.3511132385661887,0.402881816958955,-0.48543801790290153,0.40129648339559354,0.3442169011709835,0.3885955252785483,0.4403798498112523,-0.6501314005755309,0.4131911135408171,0.3940747427418996,0.001073998113293894,0.001868213245616913,57.487983013376144,5039.071407079697
38,5,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,3,25,951689995,500,CMAES,p concatenated,0.33898458130401626,0.384852005074071,-0.46939987427654767,0.3910229815138597,0.3673775696870948,0.3844496316781078,0.4420704260744565,-0.6513294385467546,0.42144904605865113,0.39066943872140364,0.0011784415275562605,0.001868213245616913,63.07853401216631,4943.262852907181
39,5,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,3,25,164252281,500,CMAES,p concatenated,0.36278189161511887,0.3780855338115403,-0.48431546129860475,0.39214832405820294,0.3639668654242084,0.3933813693711134,0.423659323454081,-0.6498792352079562,0.4252880599844574,0.3950292629995489,0.0012570831763389176,0.001868213245616913,67.28799184398295,5037.149995565414
40,5,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,3,50,678261680,500,CMAES,p concatenated,0.3730687665734659,0.37303154509672254,-0.4922896608679163,0.37308963976837173,0.37303657652786393,0.41445387080228535,0.41454611605857117,-0.6578971669415327,0.41446617382096174,0.4144940870278884,1.0517403075180625e-05,2.0849497822505176e-05,50.44439518264092,5532.750229358673
41,5,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,3,50,951689995,500,CMAES,p concatenated,0.3731593053183324,0.37296669130347665,-0.4923189647786108,0.37312688462609267,0.3729708731199588,0.41459981737954527,0.414517648456952,-0.6579182358961738,0.41441596802022823,0.41447996714758406,1.0543136960371694e-05,2.0849497822505176e-05,50.56782206519774,5504.682795763016
42,5,-0.0868026827782653,0.9132962777942596,-0.7319367414760487,-0.3289493162632717,-0.5470920147217146,3,50,164252281,500,CMAES,p concatenated,0.3730430862495364,0.37310321893988757,-0.49231693831208573,0.3730216773717451,0.3730170773055152,0.41449291802494087,0.4145114531367624,-0.657942196231533,0.41447364873571235,0.41459601850566685,1.0525978951357015e-05,2.0849497822505176e-05,50.485527473928684,5383.2093069553375
43,5,-0.7969527881951413,-0.20411592444163865,-0.6407052945809155,0.5440021214015651,0.6248807496122719,3,25,678261680,500,CMAES,p concatenated,0.37615019475515366,0.3730149721749965,-0.482340560610774,0.37307229836884914,0.3650533931988167,0.4079589706913871,0.4176755445062006,-0.6543650259227733,0.41510945246615466,0.4086741936210505,0.0019297975415343573,0.0025156881416418015,76.71052343852617,5247.692821741104
44,5,-0.7969527881951413,-0.20411592444163865,-0.6407052945809155,0.5440021214015651,0.6248807496122719,3,25,951689995,500,CMAES,p concatenated,0.3489624757894774,0.36328390172161895,-0.4604992305681945,0.4069176932211426,0.3400901025054151,0.39993851241430245,0.42616613017594834,-0.6580735395318822,0.436007102056326,0.3971938898909249,0.0012781084262637947,0.0025156881416418015,50.805519376883844,5636.93134355545
45,5,-0.7969527881951413,-0.20411592444163865,-0.6407052945809155,0.5440021214015651,0.6248807496122719,3,25,164252281,500,CMAES,p concatenated,0.37051206193370456,0.38411992665018857,-0.4587296761899093,0.37411390953756,0.3403830539916695,0.41311357622225586,0.4222828405337212,-0.6505879671305265,0.3856536977590867,0.4192256653062593,0.0014528354256676099,0.0025156881416418015,57.751014587978815,5171.418775558472
46,5,-0.7969527881951413,-0.20411592444163865,-0.6407052945809155,0.5440021214015651,0.6248807496122719,3,50,678261680,500,CMAES,p concatenated,0.3731924424440382,0.3732274827710486,-0.4925947179178606,0.3730700185742623,0.37281758997449477,0.41455454921657864,0.4146138988120098,-0.6581086606987973,0.4144419085856718,0.41478545670232053,1.0146585898526844e-05,1.7750602199923704e-05,57.161924898358976,5515.5740921497345
47,5,-0.7969527881951413,-0.20411592444163865,-0.6407052945809155,0.5440021214015651,0.6248807496122719,3,50,951689995,500,CMAES,p concatenated,0.37294587414374464,0.3729514146508459,-0.4923761964915043,0.3733104065528098,0.3729808176082061,0.4145329573029077,0.4145120038095717,-0.6580384553011653,0.4145517588705631,0.41462933549006553,1.0219023305383802e-05,1.7750602199923704e-05,57.57000912018481,5857.7641685009
48,5,-0.7969527881951413,-0.20411592444163865,-0.6407052945809155,0.5440021214015651,0.6248807496122719,3,50,164252281,500,CMAES,p concatenated,0.3730332997128903,0.37297466025156345,-0.49243528037407824,0.3730780620369649,0.3731736583515871,0.41455871629116037,0.4144746727193398,-0.6580310388947692,0.41456830373582804,0.4146048584405146,1.0183869755071579e-05,1.7750602199923704e-05,57.3719676683158,5752.391686677933
49,5,0.6097457122035289,0.05446644913523624,-0.6144938691814952,0.2639392982633204,0.803192227352991,3,25,678261680,500,CMAES,p concatenated,0.367113273933057,0.3928919177355791,-0.5035159459233638,0.38566781692466584,0.360300762114722,0.4082868748294316,0.4198668765113897,-0.6561149193845013,0.4157506783125272,0.40975704394989343,0.0007866469170948171,0.0010403074923202897,75.61676935924868,5092.3839654922485
