id,n,v_1,v_2,v_3,v_4,v_5,k,r,seed,gens,algorithm,kind,p_1,p_2,p_3,p_4,p_5,optimised error,suzuki error,% error,time
160,5,0.09779590701922157,0.6771475910702092,0.10793346269983184,0.31995019735873353,-0.14424244289484234,2,100,373276626,250,CMAES,p,0.414057927786838,0.4150333998088036,-0.6563353027407026,0.41411418677490835,0.41312549964085726,0.0005618356538645531,0.001256652713578543,44.70890388360566,657.1050667762756
161,5,0.09779590701922157,0.6771475910702092,0.10793346269983184,0.31995019735873353,-0.14424244289484234,2,100,554197088,250,CMAES,p,0.4141156448777229,0.41447678537820676,-0.656335964168658,0.4129295988191043,0.41480964881550275,0.0005617172094573675,0.001256652713578543,44.699478494561745,657.004200220108
162,5,0.09779590701922157,0.6771475910702092,0.10793346269983184,0.31995019735873353,-0.14424244289484234,2,100,858138413,250,CMAES,p,0.414242939040502,0.4134959506198172,-0.6563356130329033,0.4151455965783979,0.4134468379461921,0.0005617618746870057,0.001256652713578543,44.703032796331485,657.5593509674072
163,5,0.09779590701922157,0.6771475910702092,0.10793346269983184,0.31995019735873353,-0.14424244289484234,2,150,373276626,250,CMAES,p,0.4140883218276895,0.41435022606158356,-0.6572091207343681,0.4148048493751943,0.413964845049292,0.00011438287059835226,0.00025492958425524627,44.868417658355135,707.9336502552032
164,5,0.09779590701922157,0.6771475910702092,0.10793346269983184,0.31995019735873353,-0.14424244289484234,2,150,554197088,250,CMAES,p,0.41427531966844877,0.4135142026650268,-0.6572115235045098,0.41543365670559024,0.41398746634677036,0.00011438693485726357,0.00025492958425524627,44.870011925620425,711.0775792598724
165,5,0.09779590701922157,0.6771475910702092,0.10793346269983184,0.31995019735873353,-0.14424244289484234,2,150,858138413,250,CMAES,p,0.4145693295420554,0.41456656158118904,-0.6572100896676653,0.41339586359748265,0.41467745717774507,0.00011438550130542925,0.00025492958425524627,44.86944959314791,708.0465865135193
166,5,0.09779590701922157,0.6771475910702092,0.10793346269983184,0.31995019735873353,-0.14424244289484234,2,200,373276626,250,CMAES,p,0.4143319374454115,0.4132982242115792,-0.6575385278088457,0.4139260875826908,0.41598199802037145,3.6629251453614174e-05,8.14058270423793e-05,44.99585936832906,777.9115800857544
167,5,0.09779590701922157,0.6771475910702092,0.10793346269983184,0.31995019735873353,-0.14424244289484234,2,200,554197088,250,CMAES,p,0.4141397669992277,0.41393724874781557,-0.6575332739675355,0.41454422436110044,0.4149117527375551,3.659524592806997e-05,8.14058270423793e-05,44.9540865287429,779.0117707252502
168,5,0.09779590701922157,0.6771475910702092,0.10793346269983184,0.31995019735873353,-0.14424244289484234,2,200,858138413,250,CMAES,p,0.4137924865648509,0.4145942895692049,-0.6575335820550434,0.4149772342286549,0.4141692904968198,3.658576652860059e-05,8.14058270423793e-05,44.9424419084328,781.67209649086
169,5,-0.3979323703039153,0.7449030414795164,-0.6185938100318349,0.9644931611512844,0.7723213477174344,2,50,373276626,250,CMAES,p,0.4024345999526239,0.4298452570353932,-0.6468413283198621,0.3998927373399285,0.414653540025419,0.0093466256791566,0.028037203983157403,33.33651131821609,575.5765590667725
170,5,-0.3979323703039153,0.7449030414795164,-0.6185938100318349,0.9644931611512844,0.7723213477174344,2,50,554197088,250,CMAES,p,0.4032842678386077,0.4268100529389596,-0.6464823697170152,0.40456979923464553,0.41180289452457153,0.009349077657359355,0.028037203983157403,33.345256763033724,578.246499300003
171,5,-0.3979323703039153,0.7449030414795164,-0.6185938100318349,0.9644931611512844,0.7723213477174344,2,50,858138413,250,CMAES,p,0.40716229447976043,0.4118575166514241,-0.6460566051997026,0.4184075484981709,0.4086139263656626,0.009325149873822236,0.028037203983157403,33.25991378963491,577.5039942264557
172,5,-0.3979323703039153,0.7449030414795164,-0.6185938100318349,0.9644931611512844,0.7723213477174344,2,100,373276626,250,CMAES,p,0.411088103363473,0.41290182452358715,-0.65405047701277,0.41740454297903506,0.4126552202651451,0.0007329489123788607,0.002128309832178264,34.438073878966605,651.7765483856201
173,5,-0.3979323703039153,0.7449030414795164,-0.6185938100318349,0.9644931611512844,0.7723213477174344,2,100,554197088,250,CMAES,p,0.4127864921954166,0.41277582274475205,-0.6540280434264026,0.4157572784740396,0.41270766313738777,0.0007325755027064833,0.002128309832178264,34.420528986454634,656.2524471282959
