,exp,row,n,k,r,t,p_1,p_2,p_3,p_4,p_5,v_1,v_2,v_3,v_4,v_5,original_error,suzuki_error,error,v_suz_error
38,15,39,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,0.6097457122035289,0.054466449135235996,-0.614493869181495,0.26393929826331997,0.803192227352991,0.0005654142530630001,0.00130957103667,0.0005749301869179999,0.0012602423422233553
39,15,40,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,-0.143391295089173,0.9314269581691441,-0.44321470753430203,0.280360807268611,-0.48910346055524795,0.0005654142530630001,0.00130957103667,0.00084278767672,0.0017309735954713322
40,15,41,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,0.029020003077867,-0.415211436180265,0.9060357844471439,-0.737946442450304,-0.59406177308319,0.0005654142530630001,0.00130957103667,0.0009502231367119999,0.00183588217865041
41,15,42,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,0.32903165430982395,0.438659911147265,0.023996515473117,-0.164971104824635,0.21285257205184802,0.0005654142530630001,0.00130957103667,0.0006357550125340001,0.0011775516053292236
42,15,43,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,-0.932683531588811,0.210337173751285,0.08075618136681,0.546788577158553,0.706532080400959,0.0005654142530630001,0.00130957103667,0.000831717272633,0.0016843907336223066
43,15,44,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,0.09779590701922199,0.6771475910702089,0.10793346269983199,0.31995019735873403,-0.14424244289484198,0.0005654142530630001,0.00130957103667,0.000608473869849,0.001256652713580904
44,15,45,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,-0.397932370303915,0.744903041479516,-0.618593810031835,0.9644931611512841,0.772321347717434,0.0005654142530630001,0.00130957103667,0.00114971610727,0.002128309832157201
45,15,46,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,0.9426348641298841,-0.0037674492744359995,-0.026144726113405,0.31151238904345696,-0.23846731517363298,0.0005654142530630001,0.00130957103667,0.0007564548009360001,0.0015748864924874006
46,15,47,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,-0.7792433087145899,-0.634439944143254,0.288266005962503,-0.8352754998489978,0.6970477297542359,0.0005654142530630001,0.00130957103667,0.00111100124662,0.0021367651055745804
47,15,48,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,0.34762965328911,-0.5496260650517271,-0.10859599898493301,0.15932001686603,0.10773479349605199,0.0005654142530630001,0.00130957103667,0.0007443987441050001,0.0013074079774217072
48,15,49,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,-0.844181066274578,0.5369412745423819,-0.8599370336530441,0.305900950477507,0.307307983465393,0.0005654142530630001,0.00130957103667,0.0011436456397400001,0.002119721449618185
49,15,50,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,-0.9042640046260499,0.533459801972326,0.415211652608789,0.569854372216116,-0.374962547897989,0.0005654142530630001,0.00130957103667,0.000791622136774,0.0015067740422385753
50,15,51,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,-0.999051849623006,-0.38270508552766097,-0.630254148303522,-0.8555475726657741,-0.8066554183749491,0.0005654142530630001,0.00130957103667,0.00072128101885,0.0012748634670900303
51,15,52,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,0.428956264276091,0.518990654171372,-0.547659749729947,-0.61168691851822,-0.9706427775684549,0.0005654142530630001,0.00130957103667,0.000774714935624,0.0014727943363573761
52,15,53,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,-0.7138375868617991,-0.89561061944838,0.7837199813945921,0.08136905101121601,-0.11718969147978801,0.0005654142530630001,0.00130957103667,0.000792501042077,0.0015074669314189815
53,15,54,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,0.603800031154597,0.550105940302207,-0.227117637636759,-0.176569439986245,-0.366784136980409,0.0005654142530630001,0.00130957103667,0.000610055053117,0.0013138450926999513
54,15,55,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,-0.8060005073705071,-0.6661853372842409,-0.42502530987427006,0.807278013050725,-0.07437962025411701,0.0005654142530630001,0.00130957103667,0.0007106148502719999,0.00139245872526967
55,15,56,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,-0.661367279794385,-0.42197654755254105,-0.387778521482807,0.276500423122041,0.546495634937345,0.0005654142530630001,0.00130957103667,0.000628958604788,0.001325351076186945
56,15,57,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,-0.9841367855768679,-0.9650485460071669,-0.846669503278965,0.7322006869326719,0.207149266092126,0.0005654142530630001,0.00130957103667,0.000853165029527,0.0015496853723569685
57,15,58,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,0.7297072757774871,0.447839255393184,0.490581639140507,-0.29706902302901,0.12372533925097899,0.0005654142530630001,0.00130957103667,0.000566798344974,0.0012645441833974325
58,15,59,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,-0.6079946789875109,-0.06423701943454499,0.48655339694384003,0.603396998069534,0.208584538461168,0.0005654142530630001,0.00130957103667,0.000555616410641,0.001244024298279538
59,15,60,5,2,100,10,0.41288262810013304,0.413511097025671,-0.6562215658973759,0.4159510639924171,0.41387228456253605,0.832047234333674,-0.341285605018889,0.543920354933582,0.476415729153106,-0.23428940593775,0.0005654142530630001,0.00130957103667,0.0008714312819369999,0.0017733698696874574
60,15,61,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,-0.10697142702071599,0.529058605311209,0.5043258788245539,-0.34826462467060304,-0.950258369325947,0.000638245671521,0.002038292324166,0.0008627692639119999,0.001330323387528409
61,15,62,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,0.09640984945486199,0.16554078304766,-0.7392959233634109,-0.329631476009917,-0.471443856758978,0.000638245671521,0.002038292324166,0.0009068398570180001,0.0013095710366606828
62,15,63,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,-0.141482629457203,0.49927993735163895,-0.845004439908944,0.562920582689051,-0.616606646912017,0.000638245671521,0.002038292324166,0.000638245671521,0.0020382923241751925
63,15,64,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,0.9990841044966379,0.219647910521367,0.159237006964318,0.7608713011021461,0.85138532629344,0.000638245671521,0.002038292324166,0.000989244110993,0.0012640933429922281
64,15,65,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,0.546249156306116,-0.100683572622685,0.6027915688719189,-0.29350042748625,0.5026005440096201,0.000638245671521,0.002038292324166,0.0008563123207889999,0.0015359722434719841
65,15,66,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,0.990454069341024,-0.244450416361064,0.7955458787759091,0.42909686644376294,0.926566143656515,0.000638245671521,0.002038292324166,0.0008395250263430001,0.0016526556537151892
66,15,67,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,-0.08680268277826499,0.9132962777942599,-0.7319367414760491,-0.328949316263272,-0.547092014721715,0.000638245671521,0.002038292324166,0.000665312601289,0.0017035836136133665
67,15,68,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,-0.7969527881951409,-0.20411592444163895,-0.640705294580916,0.544002121401565,0.624880749612272,0.000638245671521,0.002038292324166,0.0007277785093210002,0.0016187542698847361
68,15,69,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,0.6097457122035289,0.054466449135235996,-0.614493869181495,0.26393929826331997,0.803192227352991,0.000638245671521,0.002038292324166,0.0008550278136779999,0.0012602423422233553
69,15,70,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,-0.143391295089173,0.9314269581691441,-0.44321470753430203,0.280360807268611,-0.48910346055524795,0.000638245671521,0.002038292324166,0.0008141734763370001,0.0017309735954713322
70,15,71,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,0.029020003077867,-0.415211436180265,0.9060357844471439,-0.737946442450304,-0.59406177308319,0.000638245671521,0.002038292324166,0.0007679234892280001,0.00183588217865041
71,15,72,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,0.32903165430982395,0.438659911147265,0.023996515473117,-0.164971104824635,0.21285257205184802,0.000638245671521,0.002038292324166,0.000971245831248,0.0011775516053292236
72,15,73,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,-0.932683531588811,0.210337173751285,0.08075618136681,0.546788577158553,0.706532080400959,0.000638245671521,0.002038292324166,0.000628577374096,0.0016843907336223066
73,15,74,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,0.09779590701922199,0.6771475910702089,0.10793346269983199,0.31995019735873403,-0.14424244289484198,0.000638245671521,0.002038292324166,0.0009457552344810001,0.001256652713580904
74,15,75,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,-0.397932370303915,0.744903041479516,-0.618593810031835,0.9644931611512841,0.772321347717434,0.000638245671521,0.002038292324166,0.000887099451428,0.002128309832157201
75,15,76,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,0.9426348641298841,-0.0037674492744359995,-0.026144726113405,0.31151238904345696,-0.23846731517363298,0.000638245671521,0.002038292324166,0.0008252367909969999,0.0015748864924874006
76,15,77,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,-0.7792433087145899,-0.634439944143254,0.288266005962503,-0.8352754998489978,0.6970477297542359,0.000638245671521,0.002038292324166,0.000735727612557,0.0021367651055745804
77,15,78,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,0.34762965328911,-0.5496260650517271,-0.10859599898493301,0.15932001686603,0.10773479349605199,0.000638245671521,0.002038292324166,0.00100498137848,0.0013074079774217072
78,15,79,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,-0.844181066274578,0.5369412745423819,-0.8599370336530441,0.305900950477507,0.307307983465393,0.000638245671521,0.002038292324166,0.000713456185522,0.002119721449618185
79,15,80,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,-0.9042640046260499,0.533459801972326,0.415211652608789,0.569854372216116,-0.374962547897989,0.000638245671521,0.002038292324166,0.0008312878354510002,0.0015067740422385753
80,15,81,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,-0.999051849623006,-0.38270508552766097,-0.630254148303522,-0.8555475726657741,-0.8066554183749491,0.000638245671521,0.002038292324166,0.00107060841154,0.0012748634670900303
81,15,82,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,0.428956264276091,0.518990654171372,-0.547659749729947,-0.61168691851822,-0.9706427775684549,0.000638245671521,0.002038292324166,0.0006853843021000001,0.0014727943363573761
82,15,83,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,-0.7138375868617991,-0.89561061944838,0.7837199813945921,0.08136905101121601,-0.11718969147978801,0.000638245671521,0.002038292324166,0.0006489740235800001,0.0015074669314189815
83,15,84,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,0.603800031154597,0.550105940302207,-0.227117637636759,-0.176569439986245,-0.366784136980409,0.000638245671521,0.002038292324166,0.0009236336834310001,0.0013138450926999513
84,15,85,5,2,100,10,0.413425749195243,0.41606025282493303,-0.655608452020279,0.412645642528264,0.41346971868884497,-0.8060005073705071,-0.6661853372842409,-0.42502530987427006,0.807278013050725,-0.07437962025411701,0.000638245671521,0.002038292324166,0.000763305465313,0.00139245872526967
